Year,Region,Household Type,Measure,Value,Flags
"2008","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",4.5,
"2009","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",4.2,
"2010","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",5.4,
"2011","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",5.4,
"2012","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",5.1,
"2013","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",4.5,
"2014","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",4.6,
"2015","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",4.4,
"2016","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",5.4,
"2017","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",4.8,
"2018","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",5,
"1998","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",490,
"1999","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",724,
"2000","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",500,
"2001","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",600,
"2002","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",640,
"2003","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",700,
"2004","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",625,
"2005","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",901,
"2006","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",925,
"2007","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",884,
"2008","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",948,
"2009","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",1025,
"2010","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",1138,
"2011","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",1112,
"2012","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",1438,
"2013","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",1260,
"2014","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",1348,
"2015","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",1380,
"2016","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",1008,
"2017","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",1386,
"2018","Taranaki Region","Couple with three or more dependent children","Median Wage and Salary Income",1787,
"1998","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"1999","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2000","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2001","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2002","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2003","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2004","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2005","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2006","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2007","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2008","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2009","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2010","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2011","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2012","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2013","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2014","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2015","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2016","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2017","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2018","Taranaki Region","Couple with three or more dependent children","Median Self-employment Income",0,
"1998","Taranaki Region","Couple with three or more dependent children","Median Government Transfer Income",0,
